# Frequency                gain                      delta_phi                
5.207932866157590297e+02 6.949160313355479124e-01 -1.900252189612041676e-01
5.209173936554727788e+02 6.949776254457294966e-01 -1.919770769281559097e-01
5.210415302703709131e+02 6.941133070792313564e-01 -1.951854706160851549e-01
5.211656964675006520e+02 6.938600350010010187e-01 -1.979532874161535894e-01
5.212898922539118303e+02 6.932106907587515243e-01 -2.014712577591479814e-01
5.214141176366557602e+02 6.926166620709512944e-01 -2.040748640494309818e-01
5.215383726227852321e+02 6.920273461206420951e-01 -2.074402341778216474e-01
5.216626572193550828e+02 6.917417188687442486e-01 -2.091495624445047774e-01
5.217869714334213995e+02 6.917579278562592249e-01 -2.116105909264942575e-01
5.219113152720423159e+02 6.909434280587485322e-01 -2.131783406940859216e-01
5.220356887422773298e+02 6.908542737255967126e-01 -2.172298736769477934e-01
5.221600918511882128e+02 6.902399692941671994e-01 -2.198210120641466148e-01
5.222845246058371913e+02 6.890754423589140476e-01 -2.225797078090403502e-01
5.224089870132893338e+02 6.896100316193877200e-01 -2.249863867823465036e-01
5.225334790806109595e+02 6.879134637816938236e-01 -2.289549274512441279e-01
5.226580008148702063e+02 6.886231914227717299e-01 -2.301516553113369667e-01
5.227825522231369177e+02 6.874861303212274066e-01 -2.333542957907948079e-01
5.229071333124823013e+02 6.873411347408550087e-01 -2.362531604893534087e-01
5.230317440899796111e+02 6.877624273610155603e-01 -2.396902507917211267e-01
5.231563845627036926e+02 6.864485899518758538e-01 -2.416484089009931502e-01
5.232810547377314379e+02 6.857072587116225248e-01 -2.433614285671916733e-01
5.234057546221399662e+02 6.853197451743984203e-01 -2.456224477274129292e-01
5.235304842230098075e+02 6.850414107890114845e-01 -2.495297385548780333e-01
5.236552435474224012e+02 6.848182061010007482e-01 -2.509210372998151861e-01
5.237800326024610058e+02 6.839044278574065716e-01 -2.527312482869921162e-01
5.239048513952104713e+02 6.834818962895335970e-01 -2.557254820822967289e-01
5.240296999327575804e+02 6.836913141759050072e-01 -2.587989603870921584e-01
5.241545782221903664e+02 6.817563078329406112e-01 -2.614973273320253533e-01
5.242794862705991363e+02 6.816578840945473061e-01 -2.640812166588548671e-01
5.244044240850757888e+02 6.809119602077173816e-01 -2.675809653142446898e-01
5.245293916727129044e+02 6.803429720091080934e-01 -2.710155793953972214e-01
5.246543890406059063e+02 6.799558746518151731e-01 -2.712456525878939040e-01
5.247794161958515815e+02 6.793349728643744978e-01 -2.756481515268225380e-01
5.249044731455484225e+02 6.791218075402360999e-01 -2.767077061452187792e-01
5.250295598967965134e+02 6.786058069155833650e-01 -2.806043658984638256e-01
5.251546764566976435e+02 6.776868669890289132e-01 -2.823104135858494068e-01
5.252798228323553076e+02 6.779828336423755486e-01 -2.847662041242284836e-01
5.254049990308749329e+02 6.764054088257455133e-01 -2.877834295871672943e-01
5.255302050593630838e+02 6.761427976712615084e-01 -2.903348869890090000e-01
5.256554409249291666e+02 6.762502306264330798e-01 -2.924180659280937178e-01
5.257807066346822467e+02 6.747736506318486871e-01 -2.950768431262371649e-01
5.259060021957349136e+02 6.746573340054219381e-01 -2.967649490314068217e-01
5.260313276152008939e+02 6.738206713966535810e-01 -3.008008892581286453e-01
5.261566829001955057e+02 6.734413474582474635e-01 -3.035193152153925489e-01
5.262820680578357724e+02 6.725782439269800683e-01 -3.057300220606138375e-01
5.264074830952405364e+02 6.727131943643113177e-01 -3.079258389703669607e-01
5.265329280195302317e+02 6.720356919897317871e-01 -3.103388872857473224e-01
5.266584028378268840e+02 6.717429822140967843e-01 -3.121616157425397553e-01
5.267839075572551337e+02 6.707586758465826637e-01 -3.160963949368480463e-01
5.269094421849392802e+02 6.694075769212443072e-01 -3.176714258763575494e-01
5.270350067280072608e+02 6.697331850317190804e-01 -3.214156917748325348e-01
5.271606011935879224e+02 6.687062761392482679e-01 -3.227834790201824511e-01
5.272862255888119307e+02 6.685638484895026767e-01 -3.260583266582197659e-01
5.274118799208116570e+02 6.674342857755654057e-01 -3.280557115075231067e-01
5.275375641967210640e+02 6.662157588950573528e-01 -3.309381417076022736e-01
5.276632784236760472e+02 6.665206459948934681e-01 -3.325598328085495048e-01
5.277890226088138661e+02 6.655661035112655499e-01 -3.353124764528296886e-01
5.279147967592742816e+02 6.642039156763955843e-01 -3.377898216662935660e-01
5.280406008821972819e+02 6.645335628625010926e-01 -3.402900971750715264e-01
5.281664349847256972e+02 6.635088911591139338e-01 -3.431515393251154400e-01
5.282922990740038358e+02 6.629711028048222987e-01 -3.456180919332880741e-01
5.284181931571778250e+02 6.621256556643729807e-01 -3.488108980889896849e-01
5.285441172413950426e+02 6.614245309692481367e-01 -3.501576434408528726e-01
5.286700713338050264e+02 6.614200076763779856e-01 -3.543608225193883854e-01
5.287960554415589058e+02 6.597950244600788716e-01 -3.557317784132543181e-01
5.289220695718092884e+02 6.598075139416301749e-01 -3.581324008123307756e-01
5.290481137317107141e+02 6.594295300198375065e-01 -3.610063374172685080e-01
5.291741879284198831e+02 6.588521654997003818e-01 -3.635351180247075042e-01
5.293002921690936091e+02 6.577249938820919350e-01 -3.641533737748212651e-01
5.294264264608921167e+02 6.577485193374065231e-01 -3.675683598651566797e-01
5.295525908109766533e+02 6.561145733316324780e-01 -3.706382590585706183e-01
5.296787852265101719e+02 6.551693186750185971e-01 -3.729890202313095315e-01
5.298050097146574444e+02 6.553612470876025720e-01 -3.747828523288609937e-01
5.299312642825848343e+02 6.539167218117275526e-01 -3.758449000732544398e-01
5.300575489374605240e+02 6.538198305030502588e-01 -3.794414301872066630e-01
5.301838636864544014e+02 6.532912661462886295e-01 -3.818088359767468631e-01
5.303102085367382870e+02 6.530098329202246310e-01 -3.841201318994120761e-01
5.304365834954845695e+02 6.523368372527188486e-01 -3.862966298123087228e-01
5.305629885698688213e+02 6.512348140813847275e-01 -3.888713917416470878e-01
5.306894237670676375e+02 6.497437156268615066e-01 -3.910534224572517203e-01
5.308158890942593189e+02 6.497807516549475304e-01 -3.936122606397156609e-01
5.309423845586239850e+02 6.488332785317479923e-01 -3.957922346892082111e-01
5.310689101673434607e+02 6.482363171783857014e-01 -3.985535581789938497e-01
5.311954659276013899e+02 6.470814714755177555e-01 -4.010295683320737048e-01
5.313220518465827809e+02 6.464165282846057181e-01 -4.033390254696587185e-01
5.314486679314751427e+02 6.462292712373400860e-01 -4.066221073453788470e-01
5.315753141894662122e+02 6.459616299590223987e-01 -4.073199088861270134e-01
5.317019906277467953e+02 6.451294612373597026e-01 -4.097863097387364206e-01
5.318286972535090626e+02 6.436798891653853216e-01 -4.136232738698244482e-01
5.319554340739465488e+02 6.445190588340615756e-01 -4.153394356768327356e-01
5.320822010962550621e+02 6.423203742403574834e-01 -4.177730749281458600e-01
5.322089983276316616e+02 6.421290751572975575e-01 -4.200539846212376638e-01
5.323358257752753389e+02 6.408828011262794888e-01 -4.210709244838062304e-01
5.324626834463866771e+02 6.405143709324765400e-01 -4.233487754698543881e-01
5.325895713481681923e+02 6.407211264545903395e-01 -4.265457729999995173e-01
5.327164894878242194e+02 6.398117032650615377e-01 -4.288803103947058659e-01
5.328434378725597753e+02 6.383723091061566102e-01 -4.306730859711089821e-01
5.329704165095828330e+02 6.389405040472239117e-01 -4.340095958404650567e-01
5.330974254061026159e+02 6.375230216481937440e-01 -4.348981585784028603e-01
5.332244645693300527e+02 6.363430077933822648e-01 -4.372952439239532474e-01
5.333515340064778911e+02 6.354935954211403670e-01 -4.397126086511300436e-01
5.334786337247604706e+02 6.354020083211275871e-01 -4.428470079118511649e-01
5.336057637313938358e+02 6.345401731454372030e-01 -4.446259959077978330e-01
5.337329240335958502e+02 6.334121226548251604e-01 -4.469026931329023178e-01
5.338601146385866514e+02 6.329252117473649353e-01 -4.484304823235225612e-01
5.339873355535863766e+02 6.322256111804481771e-01 -4.515664869972777495e-01
5.341145867858186875e+02 6.315333474500346433e-01 -4.531618576515095143e-01
5.342418683425081554e+02 6.307734822656865248e-01 -4.548188805958428560e-01
5.343691802308812839e+02 6.301918535628745488e-01 -4.574640865606034446e-01
5.344965224581662824e+02 6.293276416491819791e-01 -4.600335560328785434e-01
5.346238950315928378e+02 6.286271099550539976e-01 -4.626059976548360098e-01
5.347512979583926835e+02 6.269560451861201367e-01 -4.643078170173740027e-01
5.348787312457991447e+02 6.267697318907456960e-01 -4.659793854858853557e-01
5.350061949010478202e+02 6.260740213251423381e-01 -4.694120867096196470e-01
5.351336889313743086e+02 6.249658263418559345e-01 -4.719374543275236533e-01
5.352612133440178468e+02 6.247427571613427544e-01 -4.728947292618150833e-01
5.353887681462184673e+02 6.233808540759349093e-01 -4.760603514676424730e-01
5.355163533452181355e+02 6.232485849630508001e-01 -4.777545824268929486e-01
5.356439689482606354e+02 6.225447385802680422e-01 -4.801536195480644587e-01
5.357716149625912294e+02 6.209725920592644721e-01 -4.833360182603056998e-01
5.358992913954572259e+02 6.203093730326574295e-01 -4.843487015251430883e-01
5.360269982541072977e+02 6.197083462388340847e-01 -4.851962983094306736e-01
5.361547355457920503e+02 6.196525941713505459e-01 -4.879736914341261667e-01
5.362825032777644765e+02 6.178259419513293382e-01 -4.897705562276866154e-01
5.364103014572773418e+02 6.177289523012408079e-01 -4.943362547273082441e-01
5.365381300915871634e+02 6.170313099482573893e-01 -4.951239199100019306e-01
5.366659891879512543e+02 6.168092323013329992e-01 -4.964750165066349474e-01
5.367938787536288601e+02 6.150266258601623237e-01 -4.989378687217800312e-01
5.369217987958810454e+02 6.151686988850133542e-01 -5.002029606951401419e-01
5.370497493219704666e+02 6.143176747915359837e-01 -5.026998359142575978e-01
5.371777303391614851e+02 6.142111180543365911e-01 -5.063312155884327481e-01
5.373057418547202815e+02 6.120917535286604094e-01 -5.074386122853211667e-01
5.374337838759150827e+02 6.116845957414063228e-01 -5.085682355353418060e-01
5.375618564100147978e+02 6.109040076396902164e-01 -5.116519706901723197e-01
5.376899594642909506e+02 6.109860828119136889e-01 -5.131913396309801811e-01
5.378180930460168838e+02 6.097700815038660238e-01 -5.160162629559259528e-01
5.379462571624673046e+02 6.084029106548298760e-01 -5.182867587197304005e-01
5.380744518209187390e+02 6.081531562346024211e-01 -5.202677657564196423e-01
5.382026770286494184e+02 6.069518356482465071e-01 -5.226882481826504723e-01
5.383309327929393930e+02 6.066468023802213949e-01 -5.252368831601823551e-01
5.384592191210704186e+02 6.060224586524747270e-01 -5.266941597228336214e-01
5.385875360203265245e+02 6.049593892451543553e-01 -5.278232280649928221e-01
5.387158834979918538e+02 6.039507391325984464e-01 -5.296305291864027431e-01
5.388442615613538464e+02 6.030976127178897528e-01 -5.325865521599428831e-01
5.389726702177013067e+02 6.019187933966094750e-01 -5.335832594468410406e-01
5.391011094743245167e+02 6.023730045570314662e-01 -5.376106191278218205e-01
5.392295793385158049e+02 6.004871762171066774e-01 -5.387356450724611889e-01
5.393580798175688642e+02 6.008542508255392267e-01 -5.396197559087552165e-01
5.394866109187794336e+02 5.997732100912233077e-01 -5.421134588233980089e-01
5.396151726494449576e+02 5.998103882823225819e-01 -5.441188852643752405e-01
5.397437650168649270e+02 5.978649226026984120e-01 -5.472604273321657331e-01
5.398723880283394010e+02 5.975410075338792870e-01 -5.482454302164185833e-01
5.400010416911711673e+02 5.964748971684780132e-01 -5.510508669411144922e-01
5.401297260126648325e+02 5.950454280232800874e-01 -5.527178280776299246e-01
5.402584410001263677e+02 5.947775032860638245e-01 -5.556429692588324976e-01
5.403871866608636765e+02 5.945398349033864660e-01 -5.567941266907183717e-01
5.405159630021861403e+02 5.927983029912917701e-01 -5.587606275153476076e-01
5.406447700314051872e+02 5.921247131286401233e-01 -5.603072415607641688e-01
5.407736077558338366e+02 5.917699759428624029e-01 -5.626453253058683046e-01
5.409024761827868133e+02 5.907912554018991402e-01 -5.659000561514826444e-01
5.410313753195812296e+02 5.898327532107703330e-01 -5.652253421901045627e-01
5.411603051735343115e+02 5.892529390532316169e-01 -5.681023434629368651e-01
5.412892657519666955e+02 5.881481384360955911e-01 -5.706954236616352816e-01
5.414182570621999275e+02 5.878867240140187578e-01 -5.719448783609490938e-01
5.415472791115577138e+02 5.871432708092327868e-01 -5.743994524193349882e-01
5.416763319073652383e+02 5.870274906551562477e-01 -5.762326038033345199e-01
5.418054154569495040e+02 5.856509266934409874e-01 -5.770831472306081622e-01
5.419345297676391056e+02 5.844314309885886294e-01 -5.803942379971998022e-01
5.420636748467647976e+02 5.839571454905940762e-01 -5.820368121458456834e-01
5.421928507016590402e+02 5.828839625272786984e-01 -5.845547838263267515e-01
5.423220573396550890e+02 5.820390606176480963e-01 -5.854501879275182397e-01
5.424512947680889283e+02 5.821055051306490702e-01 -5.882814021535476279e-01
5.425805629942982478e+02 5.808319242597953513e-01 -5.891584299988248397e-01
5.427098620256222148e+02 5.795200708018931612e-01 -5.907726201914882402e-01
5.428391918694017022e+02 5.793429105949660096e-01 -5.936338127084366256e-01
5.429685525329795155e+02 5.776944765790039682e-01 -5.956286814443458866e-01
5.430979440237000517e+02 5.777667454206417696e-01 -5.971839338573063927e-01
5.432273663489096407e+02 5.766629293929036448e-01 -5.997054219465463021e-01
5.433568195159567722e+02 5.756939738350668190e-01 -6.008168280956551754e-01
5.434863035321901634e+02 5.753197402366306834e-01 -6.036152725380405926e-01
5.436158184049617148e+02 5.743985777003338677e-01 -6.041638349726050627e-01
5.437453641416246910e+02 5.739142531252463542e-01 -6.057671376467701485e-01
5.438749407495340620e+02 5.725798645716929647e-01 -6.076978510059563021e-01
5.440045482360466167e+02 5.727558449985821198e-01 -6.096704192078807871e-01
5.441341866085208494e+02 5.714685727270523152e-01 -6.109511722039275838e-01
5.442638558743168460e+02 5.709753608573722161e-01 -6.135176727082929382e-01
5.443935560407968524e+02 5.700618926536975550e-01 -6.140319577015804775e-01
5.445232871153244787e+02 5.697400421195886189e-01 -6.166250752061741558e-01
5.446530491052657226e+02 5.676357701940860645e-01 -6.186803886668532648e-01
5.447828420179869227e+02 5.682200446463414600e-01 -6.207880511248333733e-01
5.449126658608574871e+02 5.665663979717893151e-01 -6.232347872704520064e-01
5.450425206412483021e+02 5.653854928345870556e-01 -6.249110248181182214e-01
5.451724063665318454e+02 5.655120749990248941e-01 -6.262692257059674361e-01
5.453023230440822999e+02 5.642120517729839468e-01 -6.284339296953529441e-01
5.454322706812758952e+02 5.637034693260933871e-01 -6.292572966556835290e-01
5.455622492854903385e+02 5.625433231046668148e-01 -6.321031727550887602e-01
5.456922588641051561e+02 5.620138197888192577e-01 -6.329976917505457656e-01
5.458222994245022619e+02 5.620729035166693865e-01 -6.358259455441421792e-01
5.459523709740636832e+02 5.608798787357005544e-01 -6.363229043054703382e-01
5.460824735201747444e+02 5.595402309483868963e-01 -6.383793997733437919e-01
5.462126070702220204e+02 5.588787912245897216e-01 -6.408718568866573762e-01
5.463427716315940188e+02 5.581325072531352349e-01 -6.417625574151970547e-01
5.464729672116806114e+02 5.575371286188111064e-01 -6.441445752332874974e-01
5.466031938178738301e+02 5.562902286857795975e-01 -6.462942055395597407e-01
5.467334514575674120e+02 5.558103820550450713e-01 -6.473897833268367208e-01
5.468637401381564587e+02 5.542378922973871802e-01 -6.496413004554835169e-01
5.469940598670389136e+02 5.534759337961018266e-01 -6.503846175380596506e-01
5.471244106516126067e+02 5.538414798408428652e-01 -6.529454432927259688e-01
