# Frequency                gain                      delta_phi                
4.999999999999998295e+02 4.265971099062432215e-01 4.461140508188057296e-01
5.001191519196800641e+02 4.269856527596117002e-01 4.446051490663522898e-01
5.002383322337202003e+02 4.271314131718174090e-01 4.423576612406350250e-01
5.003575409488867649e+02 4.269697692995759186e-01 4.407990881879135792e-01
5.004767780719478765e+02 4.272052240968458037e-01 4.396737861853088347e-01
5.005960436096735862e+02 4.277137959836285197e-01 4.395257093350184441e-01
5.007153375688344568e+02 4.282100485356712394e-01 4.364972836399925171e-01
5.008346599562037795e+02 4.278936486357170499e-01 4.361017381171614637e-01
5.009540107785561531e+02 4.281574957095165002e-01 4.335830115799557127e-01
5.010733900426676541e+02 4.285532457430965003e-01 4.328153864099455461e-01
5.011927977553162350e+02 4.282884064076448172e-01 4.317489031885028972e-01
5.013122339232810987e+02 4.291161503325686133e-01 4.308392792813990901e-01
5.014316985533433808e+02 4.294397236790588601e-01 4.299244144887408581e-01
5.015511916522856950e+02 4.294324898538577351e-01 4.271860945220620209e-01
5.016707132268927012e+02 4.300943933084327431e-01 4.263290390874718838e-01
5.017902632839493435e+02 4.301337381660811365e-01 4.247489610153429851e-01
5.019098418302436357e+02 4.299344299482041332e-01 4.215810380301663329e-01
5.020294488725645579e+02 4.312291051683881937e-01 4.211995394824183947e-01
5.021490844177029089e+02 4.315141781043485558e-01 4.192854346079966099e-01
5.022687484724510227e+02 4.304713766879526560e-01 4.180682549007914695e-01
5.023884410436027679e+02 4.312951853128556001e-01 4.166643240194725095e-01
5.025081621379537751e+02 4.310994191810964549e-01 4.149086262260852642e-01
5.026279117623012098e+02 4.319105577267505769e-01 4.128987625972886377e-01
5.027476899234438861e+02 4.315152383465689079e-01 4.121872681509728409e-01
5.028674966281827210e+02 4.317164593783316962e-01 4.103394488286173925e-01
5.029873318833188023e+02 4.325043636747648024e-01 4.068437504410775674e-01
5.031071956956562303e+02 4.323943310140964114e-01 4.062622338254255894e-01
5.032270880720004129e+02 4.325842435249218076e-01 4.064588968581359651e-01
5.033470090191581221e+02 4.327634919122543833e-01 4.054096472740709167e-01
5.034669585439380057e+02 4.328402043842106695e-01 4.025625360564366595e-01
5.035869366531501328e+02 4.332462265192120188e-01 4.022893475693058996e-01
5.037069433536063912e+02 4.337137272570156799e-01 3.997257004258618629e-01
5.038269786521200899e+02 4.346597472245702365e-01 3.986632172277726482e-01
5.039470425555066981e+02 4.337250751717643960e-01 3.970374406962413616e-01
5.040671350705820259e+02 4.339952195681079372e-01 3.949541942152898777e-01
5.041872562041647825e+02 4.344402796050076399e-01 3.932510643730089406e-01
5.043074059630748138e+02 4.342355298234226724e-01 3.929882193276834634e-01
5.044275843541337281e+02 4.349851845347440515e-01 3.912494578207086349e-01
5.045477913841646682e+02 4.348389077116046608e-01 3.887349784448375090e-01
5.046680270599923688e+02 4.348673608150295800e-01 3.868546969328825469e-01
5.047882913884432128e+02 4.358265003648273406e-01 3.859259706298754367e-01
5.049085843763452885e+02 4.352641300975503835e-01 3.848554120559675162e-01
5.050289060305286739e+02 4.356513209596233893e-01 3.835349086998469659e-01
5.051492563578237309e+02 4.359265531667917970e-01 3.814190196407341027e-01
5.052696353650638912e+02 4.363714472688677848e-01 3.805203883473633475e-01
5.053900430590836663e+02 4.367645013848109325e-01 3.797883537124615572e-01
5.055104794467191596e+02 4.368766146440107856e-01 3.762131247753637275e-01
5.056309445348082932e+02 4.367234828716987649e-01 3.751485332102895143e-01
5.057514383301904104e+02 4.374293157432271872e-01 3.735296096180338310e-01
5.058719608397065599e+02 4.374717086296728286e-01 3.723751415799352316e-01
5.059925120701994388e+02 4.373337020228488803e-01 3.703572046988772293e-01
5.061130920285134493e+02 4.376834335891024996e-01 3.683136925733316858e-01
5.062337007214948699e+02 4.381129505453878470e-01 3.687964844728486291e-01
5.063543381559904333e+02 4.385683505097069945e-01 3.656102729904171511e-01
5.064750043388498284e+02 4.377874294423674262e-01 3.658581670943101827e-01
5.065956992769238809e+02 4.382903384220564469e-01 3.637177242297888746e-01
5.067164229770650650e+02 4.391391673632087378e-01 3.621040575206939671e-01
5.068371754461275032e+02 4.383104847671304705e-01 3.602589927590855723e-01
5.069579566909669666e+02 4.390967202195823482e-01 3.586637838035873216e-01
